wavelength,blue sky
3.8000000000000001e-07,0.13
3.9000000000000002e-07,0.17699999999999999
4.0000000000000003e-07,0.251
4.1000000000000004e-07,0.30599999999999999
4.2e-07,0.32400000000000007
4.3000000000000001e-07,0.33000000000000007
4.4000000000000002e-07,0.33300000000000002
4.5000000000000003e-07,0.33100000000000002
4.6000000000000004e-07,0.32300000000000001
4.7000000000000005e-07,0.311
4.8000000000000006e-07,0.29800000000000004
4.9000000000000007e-07,0.28499999999999998
5.0000000000000008e-07,0.26900000000000002
5.0999999999999999e-07,0.25
5.2e-07,0.23100000000000001
5.3000000000000001e-07,0.21399999999999997
5.4000000000000002e-07,0.19900000000000001
5.5000000000000003e-07,0.185
5.6000000000000004e-07,0.16900000000000004
5.7000000000000005e-07,0.15700000000000003
5.8000000000000006e-07,0.14900000000000002
5.9000000000000007e-07,0.14500000000000002
6.0000000000000008e-07,0.14199999999999999
6.1000000000000009e-07,0.14099999999999999
6.1999999999999999e-07,0.14099999999999999
6.3e-07,0.14100000000000001
6.4000000000000001e-07,0.14300000000000002
6.5000000000000002e-07,0.14700000000000002
6.6000000000000003e-07,0.15200000000000002
6.7000000000000004e-07,0.15400000000000003
6.8000000000000005e-07,0.14999999999999999
6.9000000000000006e-07,0.14400000000000002
7.0000000000000007e-07,0.13600000000000001
7.1000000000000008e-07,0.13200000000000001
7.2000000000000009e-07,0.13500000000000001
7.3e-07,0.14699999999999999
