wavelength,neutral 3.5 (1.05 D)
3.8000000000000001e-07,0.068000000000000005
3.9000000000000002e-07,0.077000000000000013
4.0000000000000003e-07,0.084000000000000005
4.1000000000000004e-07,0.087000000000000008
4.2e-07,0.088999999999999996
4.3000000000000001e-07,0.089999999999999997
4.4000000000000002e-07,0.091999999999999998
4.5000000000000003e-07,0.091999999999999985
4.6000000000000004e-07,0.091000000000000025
4.7000000000000005e-07,0.089999999999999997
4.8000000000000006e-07,0.089999999999999997
4.9000000000000007e-07,0.089999999999999997
5.0000000000000008e-07,0.089999999999999997
5.0999999999999999e-07,0.089999999999999997
5.2e-07,0.089999999999999997
5.3000000000000001e-07,0.089999999999999997
5.4000000000000002e-07,0.089999999999999997
5.5000000000000003e-07,0.090000000000000011
5.6000000000000004e-07,0.090000000000000024
5.7000000000000005e-07,0.090000000000000011
5.8000000000000006e-07,0.090000000000000024
5.9000000000000007e-07,0.088999999999999996
6.0000000000000008e-07,0.088999999999999996
6.1000000000000009e-07,0.087999999999999981
6.1999999999999999e-07,0.086999999999999994
6.3e-07,0.085999999999999993
6.4000000000000001e-07,0.086000000000000007
6.5000000000000002e-07,0.085000000000000006
6.6000000000000003e-07,0.084000000000000019
6.7000000000000004e-07,0.084000000000000019
6.8000000000000005e-07,0.083000000000000018
6.9000000000000006e-07,0.083000000000000004
7.0000000000000007e-07,0.082000000000000003
7.1000000000000008e-07,0.081000000000000016
7.2000000000000009e-07,0.081000000000000003
7.3e-07,0.081000000000000003
